题目：,考核点：,难度：,试题解析：,正确答案,答案A,答案B,答案C,答案D,答案E
如果您看到网上有预测彩票的广告您会(  )?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,会交咨询费试一试万一中大奖呢,怀疑真假又怕错过大奖,肯定不会交咨询费这是诈骗,相信广告,
设置密码的技巧中，以下哪个说法是错误的（）？,个人信息保护,易,不要设置与自身信息相关的密码,C,密码必须比较复杂，位数大于8位 ,可以选取一段容易记忆而与本人无关的句子,使用姓名作为密码的一部分,不要向任何人透露密码细节,密码中使用的字符种类越多越不易被猜中
适当性原则要求金融机构在销售金融产品时，应当考虑投资者的哪方面？,适当性原则,易,适当性原则要求金融机构在销售金融产品时，应当考虑投资者的投资经验和风险承受能力。,A,投资经验和风险承受能力,投资金额?,投资期限,投资收益,
收到短信，称只要将信用卡账号发给对方就可以帮你升级信用卡额度，你会怎么做？,反诈防骗,易,个人信息不透露给他人,C,直接将短信验证码发给对方,完全按照对方指示完成各项操作,删除短信不予理睬,,
"收到自称银行员工的电话,称可以帮你提升信用卡额度，下列哪项操作是正确的?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,根据提示，登录网站输入身份、银行卡信息,配合操作，告知对方验证码,挂断电话，自行拨打银行官方电话咨询,,
收集个人信息，应当限于实现处理目的的（）范围，不得过度手机个人信息。,个人信息保护,易,收集个人信息，应当限于实现处理目的的最小范围，不得过度手机个人信息。,A,最小,最大,适中,一般,
手机在浏览网页时，跳出来网络无抵押贷款链接，你会怎么办?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,点击网站，按照提示进行操作,肯定是骗子，急需用钱直接去银行柜台办理,好事一起分享，邀请同学一起加入,,
提高反诈防骗的措施中提到不出售或出租“两卡”指的是银行卡和下列什么证件？,反诈防骗,易,提高反诈防骗的措施中提到的“不再出租或出售两卡”中“两卡”指的是银行卡和手机卡。,C,银行卡,身份证,手机卡,交通卡,
提供个人身份证件复印件办理各类业务时，应在复印件上注明（  ），以防身份证复印件被移作他用。,个人信息保护,易,提供个人身份证件复印件办理各类业务时，应在复印件上注明（使用用途和期限  ），以防身份证复印件被移作他用。,A,使用用途和期限,联系电话,紧急联系人,详细地址,
通过哪个银行的个人信用信息服务平台可以查询个人信用报告？ ,金融基础知识,易,无,A,中国人民银行,自己银行卡的开户银行,,,
同学丁某收到陌生电话，称有一款理财产品回报率高，要去银行汇款，银行工作人员怕其上当阻止，丁某应该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,D,投诉该工作人员,换一家银行汇入,强制工作人员办理业务,与公安机关联系，确认是否有诈骗嫌疑,
同学蒋某收到短信，对方自称其是公安民警说他的银行账号与一中洗黑钱案件有关，需要冻结起银行账号，现在要求蒋某配合调查，需要将其银行卡的钱打入指定账号等调查结束之后，才能将钱还给蒋某，蒋某要怎么做？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗，当遭遇电信诈骗时，应及时挂掉对方电话，然后打 110 或辖区派出所电话报警，寻求警察帮助。,D,打电话联系对方,将钱打入国家指定的账号,配合对方调查,挂掉电话，然后打110或辖区派出所电话报警，寻求警察帮助,
同学李某接到短信，称其参与《奔跑吧兄弟》栏目中了大奖缴纳保证金后即可领奖，他该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,D,立即与对方联系，确认是否中奖,通过对方提供的官方网站进行查询，是否中奖,按对方提示缴纳保证金后，等待领奖,该短信置之不理，告诫周围好友防范,
同学李某接到一个自称为京东客服的电话，称其注册了网络贷款信息，现需要注销，否则影响其征信，要求其加对方为QQ好友，指导其注销操作，李某该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,按对方要求加对方为qq好友,向对方提供的平台输入自己的身份信息，银行卡号和密码,挂掉对方电话，然后打110或辖区派出所电话报警，寻求警察帮助,按照对方要求，在各网贷平台进行操作,
同学刘某在淘宝网上购物，以后很久都未收到东西和网店客服联系，对方称因为淘宝升级未收到订单，需要重新打款才能发货，刘某该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,联系淘宝客服进行相关查询后进行退款操作,打电话给网店负责人，争吵理论，求其还钱,去其他网店购物,按对方提示重新打款,
同学乔某准备在网上买一台iPad，他该如何预防网络购物诈骗？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,辨明正规官网，哪怕贵一些，但交易有保障,只顾价格便宜，不问网站真伪,用微信支付宝直接与卖家私下交易，快捷便利,商家称货到付款，未验收直接付款,
同学孙某在游戏平台购买游戏账号，对方称其帐号信用低，要求其先缴纳保证金1000元，孙某应该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,与对方理论一番后，给对方转账,去游戏官方客服咨询,按要求在指定账户缴纳1000元,,
同学王某接到一个听口音像是某导师的电话，称其换了电话，要求其第二日在办公室见面，第二日导师电话中称其正与领导谈事情，要王同学打钱给他应急，王同学该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,通过其他同学查询导师电话，并通过查到的电话与导师联系，确认信息真假,立即通过银行转账给对方,打电话和张某联系进行确认,,
同学王某想长找一份兼职工作，积累社会实践经验，扩大个人收入来源，他不可以干的工作是？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,在学校勤工俭学,在一家门店打零工,网上找兼职刷信誉,做家教服务,
"同学小刘在网上找赚职时，了解到在淘宝网给商家局信誉的工作非常轻闲,无需押金，更不坐班，每天至少可赚百元以上，小刘下列哪项行为正确？",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,A,常见诈骗手段，兼职刷单部是诈骗，主动忽略,这种赚钱方式真轻松，赶快去应聘,刚毕业就业困难，急用钱买新手机，日夜刷信营赚钱,发财致富之道，并介绍朋友一起发财,
同学杨某通过QQ与一女子相恋，被骗8000元，他该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,到女子所在地要求对方还钱,打电话报警，并提供相关信息给警方,与对方要求还钱,删除对方的QQ和一切信息,
同学张某在淘宝网上购物以后，接到自称客服的电话，对方称因为误操作，将其列为代理商，每月他需要交500元会员费，现要求张某配合退订。张某该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,D,打电话给对方争吵理论，要求其直接退订,按对方提示进行退订,将对方拉入黑名单,联系正规淘宝客服，进行相关查询后，视情况报警。,
同学朱某在网站找兼职时，看到一则信息，说是给某网站刷信誉，可以赚钱，朱某下列哪项行为正确？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,既可以赚钱又很轻松，帮其刷信誉,要求对方先打款，才能帮其刷信誉,不帮对方刷信誉，因为刷信誉的行为是不正确的，往往是骗局,,
投保时，以下行为表述正确的是？,金融基础知识,易,在投保保险时需全面阅读保险合同，逐项确认关键信息后方可正式签字投保。,D,在业务人员指定位置签字,投保文件直接翻到签名处进行签字,请求业务代为填写相关资料并签字,逐页阅读投保文件信息，重点确认保险范围、责任免除等关键信息无误后再签字。,
完善打击治理电信网络诈骗和跨境赌博法制保障的主要做法有（）,反诈防骗,易,完善打击治理电信网络诈骗和跨境赌博法制保障的主要做法有推动出台反电信网络诈骗法、推动出台《非银行支付机构条例》、出台优化账户服务、加强受理终端管理等政策文件等,D,推动出台反电信网络诈骗法,推动出台《非银行支付机构条例》,出台优化账户服务、加强受理终端管理等政策文件,以上都是,
王阿姨想学习理财知识，常见的个人理财工具不包括（）,金融基础知识,易,无,C,银行储蓄,银行代销理财,贷款,银行代销基金,
王某夫妇收到陌生人电话，称有一款理财产品回报率高，便去银行汇款，银行工作人员怕其上当阻止，王某夫妇应该怎么办?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,投诉该工作人员,换一家银行汇入,听取工作人员建议谨慎考虑,,
王某接到保险公司客服电话称其投保的产品根据国家规定需要下架处理，要将保费退回至其个人账户，要求提供个人账户信息与验证码，以下做法错误的是,反诈防骗,易,遇到保险公司电话客服告知退费的，要第一时间拨打保险公司官方客服电话核实情况，不要盲目提供个人账户信息,C,马上拨打保险公司官方客户电话核实情况是否属实,联系办理业务的保险公司工作人员确认情况,退费给我，不用交钱，可以提供账户信息,去保险公司营业网点核实信息,
王某按照某短信提示网银升级，发现卡内6万元被转走，她该怎么办（ ）,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,B,打电话给网站负责人理论要求其还钱,立刻报警，并将自己卡号对方卡号交易流水提供给公安,算了,,
网购过程中，商家让王女士加好友私聊，给出了优惠的价格。以下哪个说法是对的?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,网购脱离平台，无法得到保障,脱离平台，不用给平台分红，所以卖得便宜,人和人需要信任，反正没多少钱,,
网上是否能够申请贷款？(),反诈防骗,易,非法放贷,A,可以，但要通过正规公司、银行办理,不可以，只能线下办理。,可以，通过小广告等均可办理,,
网上银行消费者可以向确认无误的银行工作人员提供以下哪种密码,个人信息保护,易,自设密码不能向任何人透露,B,网上银行登录密码,其他均不正确。自设密码不能向任何人透露,账户支付密码,网银证书保护密码,
微信收到“微信团队”的安全提示:“您的微信账号在18:06尝试在另一个设备登录，登录设备:XX品牌XX型号”。这时我们应该怎么做,反诈防骗,易,确认是否是自己的设备登录，如果不是，则尽快修改密码,C,自己的密码足够复杂，不可能被破解，坚决不修改密码,拨打110报警,确认是否是自己的设备登录，如果不是，则尽快修改密码,,
"微信收到老板发来的信息，称在宴请客户忘带钱包了,让你赶紧给他微信转账1万元，你该怎么办?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,老板不能得罪，赶紧转,有客户在，老板不方便接电话，直接转吧,打电话或者发消息问私人或公司的问题，不确认身份不转钱,,
为了用卡安全，下列哪个行为是不当的,金融基础知识,易,需要安全用卡,C,正确申办、领用银行卡,妥善保管银行卡,任何场景均可随意使用,安全使用银行卡,
为满足残疾人客户办理业务的基本需要，银行业金融机构营业网点应配备（）,金融消费者八项权益,易,掌握无障碍服务方法和技能的员工,B,医疗人员,掌握无障碍服务方法和技能的员工,心理专家,护理人员,
为营造销售氛围，以下哪些术语可以使用？（  ）,金融基础知识,易,秒杀、抢购、限时限额等术语不能使用,D,秒杀,抢购,限时限额,以上都不行,
伪造、变造的人民币由（）统一销毁,金融基础知识,易,伪造、变造的人民币由中国人民银行相关机构统一销毁,C,公安机关,公安机关指定的保密单位,中国人民银行相关机构,中国人民银行指定的保密单位,
我国《民法典》规定，遗产的第一顺序按照下列顺序继承（）,综合类,易,我国《民法典》规定，遗产的第一顺序为配偶、子女、父母。,C,配偶、子女、父母、兄妹,父母、子女、配偶,配偶、子女、父母,子女、父母、配偶,
我国的中央银行是:,金融基础知识,易,我国的中央银行是中国人民银行,B,中国银行,中国人民银行,中国工商银行,中国建设银行,
无需征得消费者同意，即可直接扣划其借记卡内资金，侵害了消费者的(),金融消费者八项权益,易,无需征得消费者同意，即可直接扣划其借记卡内资金，侵害了消费者的财产安全权,A,财产安全权,受尊重权,自主选择权,公平交易权,
"下列不属于涉嫌电信网络诈骗的是（）。
",金融消费者八项权益,易,10086给消费者发送短信提示话费余额不足 ,A,10086给消费者发送短信提示话费余额不足 ,自称防疫部门人员进行流调,网店发送的点击即可领奖的链接,邀请你参与活动抽奖的不明邀请短信,
下列不属于涉嫌诈骗的是()。,反诈防骗,易,涉嫌诈骗的行为包括但不限于以下几点：1.仿冒身份类诈骗。包括冒充公检法、医保社保工作人员、快递丢失赔偿、网络贷款等，诱骗受害者转账或提供个人信息。2.二维码诈骗。通常通过生成带有病毒的二维码，诱导受害者扫描，从而盗取个人信息及资金。3.代购诈骗。在微信圈等平台假冒正规微商，以优惠、海外代购为诱饵，骗取购货款。4.点赞诈骗。套取个人信息后以中奖为由实施诈骗。5.刷卡消费诈骗。发送虚假刷卡消费欺骗短息，诱骗受害者将资金转入“安全账户”。6.退款诈骗。冒充客服，谎称需要退款，骗取银行卡号、密码等信息。7.钓鱼网站诈骗。设置虚假网站或链接，诱骗受害者输入账号、密码等敏感信息。8.特定目标诈骗。针对救灾、抢险、移民、医疗款等进行诈骗，以及针对残疾人、老年人或丧失劳动能力的人进行诈骗。9.其他存在威胁行为进行诈骗的情形。,B,"自称国家机关人员拨打某同学电话称“您涉嫌重大犯罪
","中国移动 10086 发短信通知某同学电话话费余额不足
","用电话指挥某同学通过 ATM 机转到所谓的“安全账号”
",以某同学个人信息进行恐吓威胁要求事主打“封口费”,
下列不属于银行保险机构消费者权益保护应当遵循的原则是（）,金融基础知识,易,银行保险机构在保护消费者权益时应当遵循依法合规、平等自愿、诚实守信的原则。,D,依法合规,平等自愿,诚实守信,利益最大化,
下列行为属于电信网络诈骗的是（）,反诈防骗,易,电信网络诈骗一般指电信诈骗。电信诈骗是指通过电话、网络和短信方式，编造虚假信息，设置骗局，对受害人实施远程、非接触式诈骗，诱使受害人打款或转账的犯罪行为，通常以冒充他人及仿冒、伪造各种合法外衣和形式的方式达到欺骗的目的。,D,盗刷信用卡,冒充熟人以各种名义借钱,通过伪基站设备发送含有木马的钓鱼网站,以上都是,
下列哪个说法是正确的?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,谁都没权利要别人，出示验证码,通缉令可以直接发给个人查询,刷单一定要找正规的，多试几次，这样才不会被骗,,
下列哪项不是常见“套路贷”类型（）,反诈防骗,易,套路贷是以非法占有为目的，假借借贷之名，诱使或迫使被害人签订“借贷”或变相“借贷”等相关协议，通过虚增借贷金额、恶意制造违约、肆意认定违约、毁匿还款证据等方式形成虚假债权债务，并借助手段非法占有被害人财物的相关违法犯罪活动的概括性称谓。常见的类型有：现金贷、校园贷、车贷、房贷、裸贷、网络贷等。,C,恶意垒高金额,包装成“民间借贷”，签订虚高合同,按照国家标准制定的利率，要求借贷者按照符合国家标准的借贷合同还清本金和利息,风险低，效益高,
下列哪个方式不属于理性维权？,金融基础知识,易,找“黑产”代投诉容易导致个人信息泄露、被诈骗等,B,协商解决,找“黑产”代投诉,请求调解,申请仲裁,
下列哪一项可能影响个人征信(),金融基础知识,易,水电费未按时缴纳、手机号停用后没有办理相关手续长期欠费、信用卡账单逾期都可能影响个人征信,D,水电费未按时缴纳,手机号停用后没有办理相关手续长期欠费,信用卡账单逾期,以上都是,
下列哪种情况，个人信息处理者不可处理个人信息____。,个人信息保护,易,未取得个人的同意或授权，个人信息处理者不可处理个人信息,D,为订立、履行个人作为一方当事人的合同所必需,为公共利益实施新闻报道，在合理的范围内处理个人信息,为履行法定职责或者法定义务所必需,未取得个人的同意,
下列事故中属于人身意外伤害保险中的保险责任的是( )。,金融基础知识,易,无,A,车祸身亡,长期接触汞而引发汞中毒死亡,吸毒死亡,犯罪人意外死亡,
下列选项不是提高反诈防骗的措施的是？,反诈防骗,易,避免使用公众WIFI,D,保护个人信息,加强账户安全管理,加强反诈宣传教育,放心使用公众WIFI,
下列选项中，不属于敏感个人信息的是（）。,个人信息保护,易,个人敏感信息包括：不满十四周岁未成年人的个人信息、生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等。,C,生物识别信息,医疗健康信息,个人姓名信息,行踪轨迹信息,
向金融消费者披露贷款产品利率的方式正确的是,金融基础知识,易,年化利率,D,日利率,月利率,季度利率,年化利率,
消费者通过网络交易平台购买商品或者接受服务，其合法权益受到损害的，可以向（）要求赔偿。,金融消费者八项权益,易,消费者通过网络交易平台购买商品或者接受服务，其合法权益受到损害的，可以向（销售者或服务者）要求赔偿。,B,生产者,销售者或服务者,交易平台提供者,总经销商,
消费者在购买、使用商品和接受服务时享有人身安全、（）安全不受损害的权利。,金融消费者八项权益,易,根据《中华人民共和国消费者权益保护法》第二章规定：消费者在购买、使用商品和接受服务时享有人身、财产安全不受损害的权利。,B,精力,财产,时间,自由,信息
消费者在购买金融产品时，发现销售人员存在欺诈行为，应该如何处理？,多元纠纷机制,易,面对欺诈行为，消费者应及时向金融机构投诉并寻求帮助，以维护自身权益。,C,立即与销售人员理论,默默忍受，不采取任何行动,向金融机构投诉并寻求帮助,在网络上公开投诉并诋毁金融机构,
消费者在购买理财产品时需承担的义务是,金融消费者八项权益,易,金融消费者八项权益,D,自愿选择购买合适的理财产品,享有理财产品的知情权,拥有合法财产的隐私权,配合银行人员做好自身的风险能力评估，合理定位自身的风险承受能力,
小红奶奶在买菜，突然接到一个来电，对方称她的电话已经欠费，若不立即联系客服缴费就会停机，下列哪个做法是合理的 (  ),反诈防骗,易,打电话给官方客服核实确认,C,马上让对方转接到客服，按照对方要求操作缴费,将信将疑，让对方转接到容服问个究竟,打电话给官方客服核实确认,,
小李在保险公司办理业务，下列哪项属于敏感个人信息？,个人信息保护,易,无,D,生物识别,宗教信仰,金融账户,以上都是,
小李最近刚生完宝宝，在家坐月子。某天她接到一个电话，对方自称政府工作人员，能说出她的姓名、生日并知道她刚生了孩子。对方表示，其生育符合国家相关政策，现将发放“生育补贴”2000元。这时小李的哪些做法是正确的？（）,反诈防骗,易,无,D,心中一喜，又有一笔收入进账了,"根据对方指示下载APP进行操作领取补贴
",按照对方要求提供自己的身份证号、银行卡账号等信息,"挂断电话，打电话向相关政府部门进行核实
",
小牛和家人准备去香港一日游，同事小林说帮忙带10万元人民币过去给亲戚，小牛应该：,金融基础知识,易,无,A,帮忙跨境转移资产可能涉及洗钱，风险太大不能答应,赚点车费，举手之劳，何乐而不,,,
小钱玩网游时，有网友主动求购，对方建议“**平台”交易，双方完成交易后，小钱发现钱到账却无法提现，客服说他银行卡号填错，要充值解冻，小钱该怎么办?,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,C,不确定是不是输错了卡号，听客服的,没办法，不充，钱就取不出来,凡是提到充值解冻的都是诈骗,继续充值看是否是同样的情况,
小杨给妻子购买了重疾险，妻子想把保险受益人指定给他们的子女，但是遭到保险公司拒绝，保险公司侵犯了小杨一家的哪项权益？,金融基础知识,易,投保人、被保险人享有指定受益人的权利。,B,同意保单转让或者质押权利,指定或者变更受益人权利,获得赔偿或给付保险金权利,,
小张在网上购买了一双名牌球鞋，支付完毕后突然收到“淘宝客服”短信，称没有支付成功，需要重新操作。这时小张该怎么做？,反诈防骗,易,涉及淘宝支付的问题，养成习惯在其官网进行核实，切不可图方便，点击不明来历的短信链接，或回拨可疑电话。,D,进入自己的支付宝进行转账,按照短信提示进入相关链接进行操作,"和短信上提供的“淘宝客服”电话联系,询间详情",联系卖家或淘宝客服进行核实,
信用卡的还款方式不包括（）,金融基础知识,易,信用卡的还款方式包括全额还款、最低还款额还款、分期还款。,D,全额还款,最低还款额还款,分期还款,逾期还款,
学生熊某想在游戏里充值，此时他应该怎么办？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,B,网上找人帮忙低价充值,官方平台充值,网上查找便宜充值平台,找游戏玩家充值,
"一个互联网平台，只要消费就能返钱,而且身边亲戚朋友给一点入会费用就能赚取消费的佣金，你会怎么做?",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,A,不参与，警惕是非法传销,这么好，当然大量消费获得返利,邀约身边朋友加入消费平台，那我就能赚取很多钱,,
以下单位中有权对损害消费者合法权益的行为进行社会监督的是（）。,金融消费者八项权益,易,消费者权益保护,A,消费者协会,市场监督管理局,行业协会,任何单位和个人,
以下可作为实名证件使用的是（ ?）,金融基础知识,易,"《个人存款账户实名制规定》（第285号国务院令）第五条：
本规定所称实名，是指符合法律、行政法规和国家有关规定的身份证件上使用的姓名。
　　下列身份证件为实名证件：
　（一）居住在境内的中国公民，为居民身份证或者临时居民身份证；
　（二）居住在境内的16周岁以下的中国公民，为户口簿；
　（三）中国人民解放军军人，为军人身份证件；中国人民武装警察，为武装警察身份证件；
　（四）香港、澳门居民，为港澳居民往来内地通行证；台湾居民，为台湾居民来往大陆通行证或者其他有效旅行证件；
　（五）外国公民，为护照。
　　前款未作规定的，依照有关法律、行政法规和国家有关规定执行。",A,临时身份证,学生证,机动车驾驶证,法定身份证件的复印件,
以下哪个行为属于个人信息泄露的风险行为？,个人信息保护,易,在公共场所大声说出个人账号密码容易泄露个人信息,A,在公共场所大声说出个人账号密码,定期更换密码,设置复杂的密码,进行实名认证,
以下哪项不是非法集资常见手段()。,非法集资,易,非法集资常见手段包括承诺高额回报、编造虚假项目、虚假宣传造势、利用亲情诱骗、使用合法外衣、编造虚假项目等,C,承诺高额回报,以虚假宣传造势,提示消费者理性消费,编造虚假项目,
以下哪项不属于金融市场的功能？,金融基础知识,易,金融市场的功能包括融资功能、调节功能、交易功能等。娱乐功能并不是金融市场的功能之一。,D,融资功能,调节功能,交易功能,娱乐功能,
以下哪项措施不是用于保护消费者个人信息的？,个人信息保护,易,在公共场所使用公共Wi-Fi进行金融交易极易导致个人信息泄露，不是保护消费者个人信息的措施。,B,定期更换密码,在公共场所使用公共Wi-Fi进行金融交易,不随意透露个人信息给陌生人,使用正规金融机构的线上服务平台,
以下哪些行为可能会导致金融消费者的权益受到侵害？,金融消费者八项权益,易,侵害消费者权益的行为判定,D,金融机构未充分告知产品风险,金融机构误导消费者购买不适合的产品,金融机构泄露消费者个人信息,以上都是,
以下哪个坏习惯容易导致被诈骗？(),反诈防骗,易,金融诈骗,B,平时注重保护自己的隐私,随意点击来路不明的二维码,刷信用卡时注意遮挡密码,,
以下哪些是常见的电信网络诈骗手段？,反诈防骗,易,常见的电信网络诈骗手段包括：假冒公检法机关诈骗、假冒银行、电商客服诈骗、刷单返利诈骗,D,假冒公检法机关诈骗,假冒银行、电商客服诈骗,刷单返利诈骗,以上都是,
以下哪些是电信网络诈骗的高危人群？,反诈防骗,易,老年人、在校大学生、网购爱好者均是容易受到网络诈骗的高危人群,D,老年人,在校大学生,网购爱好者,以上都是,
以下哪些是防范电信网络诈骗的有效措施？,反诈防骗,易,有效保护个人信息，是有效防范电信网络诈骗的方法之一。,A,不轻易透露个人信息和银行卡信息,随意点击陌生链接,轻信陌生电话和短信,,
以下哪些是金融机构应该履行的受教育权义务？,金融消费者八项权益,易,金融机构应该履行的受教育权义务有：提供金融知识宣传和教育、开展金融素养提升活动、解答金融消费者的疑问,D,提供金融知识宣传和教育,开展金融素养提升活动,解答金融消费者的疑问,以上都是,
以下哪些是金融机构在销售产品时需要向消费者披露的信息？,金融消费者八项权益,易,信息披露是对消费者知情权的一种保护手段,D,产品的性质、风险和收益,产品的费用、收费标准和计算方法,产品的投诉渠道和解决方式,以上都是,
以下哪些是金融消费者权益保护的重要措施？,金融消费者八项权益,易,金融机构保护金融消费者的举措,D,加强金融教育，提高消费者金融素养,加强监管，规范金融机构行为,建立健全投诉处理机制，保护消费者合法权益,以上都是,
以下哪些是年轻人常见的不适当消费行为？,适当性原则,易,年轻人应该根据自己的收入支出制订合理消费计划，避免超前消费、盲目消费,A,超前消费，导致负债累累,理性消费，不购买大量不必要的商品,适当消费，不追求时尚和潮流,,
以下哪些是年轻人适当性消费的表现？,适当性原则,易,年轻人应该根据自己的收入支出制订合理消费计划，避免超前消费、盲目消费,A,根据自己的收入和支出制定合理的消费计划,盲目跟风消费，促销活动不理性消费,优先考虑购买非必需品，不控制非必要支出,,
以下哪种情况可能涉及个人信息泄露？（）,个人信息保护,易,在不可信的网站上填写个人信息可能导致信息被窃取。,B,定期更新软件以修复安全漏洞,在不可信的网站上填写个人信息,关闭不必要的软件权限,,
以下哪种情况下容易受到虚拟货币诈骗？,反诈防骗,易,不通过正规交易平台购买虚拟货币容易受到虚拟货币诈骗,A,不通过正规交易平台购买虚拟货币,定期查看交易记录并保护个人信息,不相信不明身份的陌生人,"定期更新操作系统和软件
",
因参与非法集资受到的损失，由（）承担。,非法集资,易,集资参与人,A,集资参与人,集资发起人,国家,转账机构,
银行、支付机构应当对营销宣传内容的（）负责，实际承担的义务不得低于在营销宣传活动中通过广告、资料对金融消费者所承诺的标准。,金融基础知识,易,银行、支付机构应当对营销宣传内容的真实性负责，实际承担的义务不得低于在营销宣传活动中通过广告、资料对金融消费者所承诺的标准。,C,公开性,完整性,真实性,准确性,
银行、支付机构应当根据金融产品或者服务的特性，像金融消费者披露一些重要内容，以下选项中不需要披露的是（ ）,金融基础知识,易,金融消费者个人相关信息,D,银行、支付机构对该金融产品或者服务的权利、义务及法律责任,贷款产品的年化利率,因金融产品或者服务产生纠纷的处理及投诉途径,金融消费者个人相关信息,
银行保险机构对在业务活动中收集的公民个人电子信息的做法不对的是____。,个人信息保护,易,银行保险机构对在业务活动中收集的公民个人电子信息应严格保密，采取一切必要措施防止客户信息泄露，不得出售或非法向他人提供。,C,必须严格保密,不得泄露,可以根据需要修改,不得出售或非法向他人提供,
银行保险机构应当充分保障残障人士公平获得金融服务的权利，加快线上渠道（ ）建设，提供更加细致和人性化的服务,金融基础知识,易,银行保险机构应当充分保障残障人士公平获得金融服务的权利，加快线上渠道无障碍建设，提供更加细致和人性化的服务,B,无纸化,无障碍,人性化,综合服务,
银行发放的理财产品的宣传品上应有明确的风险提示，例如在醒目位置提示消费者(),金融消费者八项权益,易,银行发放的理财产品的宣传品上应有明确的风险提示，例如在醒目位置提示消费者理财非存款、产品有风险、投资须谨慎,C,本人已阅读风险揭示，愿意承担投资风险,提高风险意识，谨防上当受骗,理财非存款、产品有风险、投资须谨慎,产品解除合同时，仅退还相应现金价值,
银行卡诈骗常见的手段有（ ）,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗。,D,高科技窃取卡号密码,假吞卡,假的插卡装置,以上都是,
银行业消费者权益保护工作应遵从（  ）原则，依法维护银行业消费者的合法权益。,金融消费者八项权益,易,银行业消费者权益保护工作应遵从公平交易原则，依法维护银行业消费者的合法权益。,D,买者自负,卖者有责,公益性,公平交易,
银行应对在个人贷款业务办理过程中获取的个人信息、经营信息等非公开信息保密，未经（? ）同意，不得将上述信息透露给第三人，否则将承担法律责任。,个人信息保护,易,银行应对在个人贷款业务办理过程中获取的个人信息、经营信息等非公开信息保密，未经消费者同意，不得将上述信息透露给第三人，否则将承担法律责任。,A,消费者,业务主管,主管领导 ,上级部门,
"银行有依法开展代理保险业务(           )工作的权利，以及其他依法响应司法协助要求，采取相关行动或措施的权利。

",金融基础知识,易,银行有依法开展代理保险业务反洗钱工作的权利，以及其他依法响应司法协助要求，采取相关行动或措施的权利。,A,反洗钱 ,反偷税,反逃税,反漏税 ,
有人在网上发布新品、二手、海关没收的物品等低价出售、转让信息，以下说法正确的是：(),反诈防骗,易,网络购物平台上对于明显低于市场价格的物品，须提高警惕，不可轻信，应主动忽视。,A,常见诈骗手段，低于市场价太多不可信，主动忽略,比市场价便宜，值得买,卖家有认识相关部门人员，应该真实可靠,抱着试试看的态度买点应该没事,
在保护个人隐私方面，以下哪个措施是不够安全的？,个人信息保护,易,在社交媒体上发布个人详细信息容易泄露个人信息,D,公共场所不随意使用无线网络,定期更换密码,使用VPN加密网络连接,在社交媒体上发布个人详细信息,
在犯罪分子冒充公检法诈骗中，常用的伎俩有（  ）,金融基础知识,易,以上都是,D,"以涉嫌""洗黑钱”“银行卡盗刷""为名",通过建立新的QQ、微信账号发送通缉令,"要求受害人将名下所有钱款打进公安机关的”安全账户""",以上都是,
在客户明确拒绝投保的情况下，销售人员（   ）继续向客户推销,金融基础知识,易,无,A,不得  ,需间隔3个月,需间隔5个月,需间隔6个月,
