题目：,考核点：,难度：,试题解析：,正确答案：,
金融消费者三适当原则要求金融机构对消费者的投资行为负责。,适当性原则,易,金融消费者三适当原则强调金融机构在推荐金融产品时的适当性义务，但并不要求金融机构对消费者的投资行为负责。消费者作为独立的决策主体，应自行承担投资决策的风险和后果。,错误,
金融消费者享有八项基本权利。,金融消费者八项权益,易,金融消费者享有八项基本权利：财产安全权、知情权、自主选择权、公平交易权、依法求偿权、受教育权、受尊重权、信息安全权,正确,
金融消费者享有自主定价权。,金融基础知识,易,无,错误,
金融消费者有权要求金融机构对个人信息进行保密，不得泄露给任何第三方。,个人信息保护,易,金融消费者有权要求金融机构对个人信息进行保密，除非法律法规另有规定或消费者明确同意。,正确,
金融消费者在购买金融产品或服务时，有权要求金融机构提供真实、准确、全面的信息。,金融基础知识,易,金融消费者有权获取一些必要的、真实的、及时的信息，并根据自己的需求进行选择，如金融产品的名称、特点、价格、利率、服务内容、合同条款等,正确,
金融消费者在购买金融产品或接受金融服务时，可以自行降低自己的风险等级，不需要遵守风险测评的要求。 ,适当性原则,易,金融消费者在购买金融产品或接受金融服务时，需要遵守风险测评的要求，不可以自行降低自己的风险等级。 ,错误,
金融消费者在选择金融产品或服务前，应充分了解相关信息，注意合同条款，避免不公平的约定，以此来保护自己的自主选择权。,金融消费者八项权益,易,金融消费者在选择金融产品或服务前，应充分了解相关信息，注意合同条款，避免不公平的约定，以此来保护自己的自主选择权,正确,
金融消费者在选择金融产品或服务时，应当了解自己的风险承受能力和投资目的、仔细阅读产品或服务的说明书和风险提示、咨询专业人士或金融机构的建议。,适当性原则,易,金融消费者在选择金融产品或服务时，应当解自己的风险承受能力和投资目、仔细阅读产品或服务的说明书和风险提示、咨询专业人士或金融机构的建议,正确,
金融消费者在遭遇诈骗时，应第一时间选择报警，而不是通过多元纠纷机制解决。,多元纠纷机制,易,金融消费者在遭遇诈骗时，除了报警外，还可以通过多元纠纷机制解决纠纷。多元纠纷机制包括协商、调解、仲裁等多种方式，可以帮助消费者更高效地解决纠纷。,错误,
"金融知识教育宣传可以以营销、推介行为替代金融知识普及与消费者教育。
",金融基础知识,易,金融知识教育宣传不可以以营销、推介行为替代金融知识普及与消费者教育。,错误,
金融知识教育宣传应当坚持公益性，不得以营销、推介行为替代金融知识普及与消费者教育。,金融基础知识,易,金融知识教育宣传应当坚持公益性，不得以营销、推介行为替代金融知识普及与消费者教育。,正确,
经过线上面试你被娉为“省老年协会招聘形象大使”，且月薪六千，但是需要先交纳保证金，你选择先交纳保证金。,反诈防骗,易,防范诈骗,错误,
经营者发现其提供的商品或者服务存在缺陷，有危及人身财产安全危险的，需要召回的，经营者可以要求消费者承担其因商品被召回支出的必要费用。,金融基础知识,易,经营者发现其提供的商品或者服务存在缺陷，有危及人身财产安全危险的，需要召回的，经营者不可以要求消费者承担其因商品被召回支出的必要费用。,错误,
经营者收集、使用消费者个人信息，应当遵循合法、正当、必要的原则。明示收集，使用信息的目的、方式和范围，并经消费者同意。经营者收集、使用消费者个人信息，应当公开其收集、使用规则，不得违反法律、法规的规定和双方的约定收集、使用信息。,金融消费者八项权益,易,《消费者权益保护法》第二十九条：“经营者收集、使用消费者个人信息，应当遵循合法、正当、必要的原则，明示收集、使用信息的目的、方式和范围，并经消费者同意。经营者收集、使用消费者个人信息，应当公开其收集、使用规则，不得违反法律、法规的规定和双方的约定收集、使用信息。”,正确,
经营者未经消费者同意或者请求，或者消费者明确表示拒绝的，不得向其发送商业性信息。,金融消费者八项权益,易,《消费者权益保护法》第二十九条：“经营者未经消费者同意或者请求，或者消费者明确表示拒绝的，不得向其发送商业性信息。”,正确,
经营者未经消费者同意或者请求，可以向其发送商业性信息。,金融消费者八项权益,易,经营者未经消费者同意或者请求，不可以向其发送商业性信息。,错误,
境内商业银行可以将存款保险标识用于宣传本行理财产品。,金融基础知识,易,无,错误,
纠纷化解工作不得违反法律的基本原则，不得损害国家利益、公司和第三人合法权益。,多元纠纷机制,易,纠纷化解工作不得违反法律的基本原则，不得损害国家利益、公司和第三人合法权益,正确,
纠纷化解工作应充分尊重当事人意愿，保障当事人依法行使自己的民事权利和诉讼权利。,多元纠纷机制,易,纠纷化解工作应充分尊重当事人意愿，保障当事人依法行使自己的民事权利和诉讼权利,正确,
纠纷化解工作应根据投诉纠纷实际情况，灵活确定解纷化解方式，提升解纷化解效率，降低当事人解纷处理成本。,多元纠纷机制,易,纠纷化解工作应根据投诉纠纷实际情况，灵活确定解纷化解方式，提升解纷化解效率，降低当事人解纷处理成本,正确,
开立银行账户、支付账户根据实际情况可超出国家有关规定限制的数量。,反诈防骗,易,开立银行账户、支付账户根据实际情况不可超出国家有关规定限制的数量。,错误,
开启手机防骗功能可以有效预防诈骗电话。,反诈防骗,易,开启手机防骗功能可以有效预防诈骗电话。,正确,
可以把银行卡卖给别人赚取500元,反诈防骗,易,要谨防诈骗,错误,
可以在网上通过正规公司或银行申请贷款。,金融基础知识,易,可以在网上通过正规公司或银行申请贷款。,正确,
"客户信息的编辑应当有客户授权或申请,并由相关操作权限人员进行相应的编辑操作。",个人信息保护,易,"客户信息的编辑应当有客户授权或申请,并由相关操作权限人员进行相应的编辑操作。",正确,
"客户信息的收集应当符合实际业务经营需求,任何部门不得误导客户提供不真实客户信息或经篡改的客户信息。",个人信息保护,易,"客户信息的收集应当符合实际业务经营需求,任何部门不得误导客户提供不真实客户信息或经篡改的客户信息。",正确,
老丁是某公司出纳，经常要给客户汇款。这天他手机上突然收到自称是公司老板的发来一条信息：“有一笔货款，请把钱打到这个账户上622*********王斌”。他猛然想起有一笔货款说好当天打的，于是他没有进一步核实对方身份，便按照信息上的账户将钱汇了过去。,反诈防骗,易,要谨防电信诈骗,错误,
李某一日收到一号码尾号为95588的手机短信，提醒自己网银到期，请点击附加网站进行更新，李某知道95588为工行服务电话，便按照提示进行操作,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
李先生接到银行发来的信用卡提升额度短信，里面包含了一条网址链接，李先生立即点开链接并输入个人信息。,反诈防骗,易,要谨防电信诈骗,错误,
理财规划的基本原则之一是风险和收益匹配原则，高收益必然高风险。,适当性原则,易,理财规划的基本原则之一是风险和收益匹配原则，高收益必然高风险。,正确,
理赔申请时被拒赔可与保险公司工作人员寻求解释。,金融基础知识,易,保险公司理赔决定依据是保险合同，对拒赔原因不清楚的可向保险公司寻求解释,正确,
利率是衡量资金成本的重要指标，也是货币政策的重要工具。,金融基础知识,易,利率是衡量资金成本的重要指标，也是货币政策的重要工具。,正确,
没有开立存款账户的消费者，不能办理支付结算。,金融基础知识,易,没有开立存款账户的消费者，可以办理支付结算。,错误,
"某日，李某到某银行分行营业大厅办理银行信息查询业务，称其想要查询并打印其弟弟名下的银行账户明细。由于李某弟弟在国外读书，无法返回，遂委托李某代为办理。因李某未出具相关的《公证委托书》，某银行分行工作人员表示无法为其办理此笔委托查询业务。该行做法是否正确？
",个人信息保护,易,《中国人民银行金融消费者权益保护实施办法》（中国人民银行令〔2020〕第5号）第二十九条规定：“银行、支付机构处理消费者金融信息，应当遵循合法、正当、必要原则，经金融消费者或者其监护人明示同意，但是法律、行政法规另有规定的除外。”第三十四条第二款规定：“银行、支付机构及其工作人员应当对消费者金融信息严格保密，不得泄露或者非法向他人提供。”本案中，李某未能出示证明其代理查询、打印银行账户流水业务且经过公证的授权委托书，在未得到金融消费者或其监护人明示同意的情况下，为保障金融消费者的个人信息不被泄露，银行有权拒绝李某查询他人的个人银行结算账户信息。,正确,
某同学近日在网上找到了一份刷单的工作，并在朋友圈大肆炫耀其每天日入百元的“战绩”。她找到你，并向你推荐这份轻松地工作。此时你应该劝说某同学和身边的好朋友们，并积极将此事反应给老师或辅导员。,反诈防骗,易,这属于刷单诈骗。,正确,
侵害个人信息权益造成损害，个人信息处理者不能证明自己没有过错的，应当承担损害赔偿等侵权责任。,个人信息保护,易,侵害个人信息权益造成损害，个人信息处理者不能证明自己没有过错的，应当承担损害赔偿等侵权责任。,正确,
求职签合同时，合同一般应包括工作时间、薪酬数额、薪酬支付时间、薪酬支付方式。,反诈防骗,易,求职签合同时，合同一般应包括工作时间、薪酬数额、薪酬支付时间、薪酬支付方式。,正确,
全国反电诈报警电话是96111。,反诈防骗,易,全国反电诈报警电话是96110,错误,
人民币是我国的法定货币，各企业不得拒收现金。,金融消费者八项权益,易,无,正确,
任何单位和个人不得印制、发售代币票券，以代替人民币在市场上流通。,金融基础知识,易,无,正确,
"任何单位和个人都应当爱护人民币，禁止损害人民
币和妨碍人民币流通。",金融基础知识,易,无,正确,
任何机构、组织或者个人不得违法违规开展保险退保业务推介 、咨询、代办等活动，诱导投保人退保，扰乱保险市场秩序。,综合类,易,根据《保险销售行为管理办法》（2023年第3号令）第三十九条任何机构、组织或者个人不得违法违规开展保险退保业务推介 、咨询、代办等活动，诱导投保人退保，扰乱保险市场秩序。,正确,
任何陌生人在电话中提出要求网上银行操作或ATM机操作的指令不要听取，立刻挂断电话，遇到疑惑可主动咨询110。,反诈防骗,易,无,正确,
如果个人信息被非法获取，金融机构应立即通知受影响的客户和相关监管机构。,个人信息保护,易,如果个人信息被非法获取，金融机构应立即通知受影响的客户和相关监管机构,正确,
如果金融机构未充分尊重金融消费者的自主选择权，会使消费者权益受损，但不会影响金融市场稳定,金融消费者八项权益,易,如果金融机构未充分尊重金融消费者的自主选择权，也会影响金融市场稳定,错误,
如果金融消费者发现自己的个人信息被泄露，可以要求金融机构删除自己的个人信息，如果金融机构不配合，可以提起法律诉讼。 ,个人信息保护,易,如果金融消费者发现自己的个人信息被泄露，可以要求金融机构删除自己的个人信息，如果金融机构不配合，可以提起法律诉讼。 ,正确,
如果金融消费者自身主动要求购买高风险产品，金融机构无需进行适当性评估。,适当性原则,易,即使金融消费者主动要求购买高风险产品，金融机构仍然需要进行适当性评估。这是因为金融机构有义务确保消费者了解产品的风险，并评估其是否具备承担这些风险的能力。这是金融消费者三适当原则中“适当销售”和“适当披露”的重要体现。,错误,
如果收到期末考试成绩查询短信、银行卡扣费提醒短信、重磅八卦短信、手机运营商积分兑换、买卖游戏装备等各种名目的短信后附有一条网址链接，你很感兴趣，但不会直接点开附有的链接，会登录官网核实、查看,反诈防骗,易,如果收到期末考试成绩查询短信、银行卡扣费提醒短信、重磅八卦短信、手机运营商积分兑换、买卖游戏装备等各种名目的短信后附有一条网址链接，你很感兴趣，但不会直接点开附有的链接，会登录官网核实、查看,正确,
如果手机不小心弄丢了，之前手机已经绑定了微信、支付宝、银行卡，为了保护自己的财产信息，应立即挂失手机号并且冻结手机网银，解绑与手机号绑定的支付宝、微信等支付账户。,个人信息保护,易,无,正确,
如果有人给你一笔钱请你用自己的身份证帮他办理一张银行卡或电话卡，你可以同意。,反诈防骗,易,不可以买卖银行卡、电话卡，这是违法的。,错误,
商业银行分支机构可自行制作理财产品宣传销售文本。,综合类,易,商业银行分支机构无权自行制作理财产品宣传销售文本,错误,
商业银行可适当向客户提供与其真实需要和风险承受能力不相符合的产品和服务。,金融基础知识,易,商业银行可适当向客户提供与其真实需要和风险承受能力相符合的产品和服务。,错误,
商业银行应建立员工代理开户业务风险隔离制度，允许营业网点员工在本网点代理他人开户。,金融消费者八项权益,易,无,错误,
设立移动互联网应用程序应当按照国家有关规定向电信主管部门办理许可或者备案手续。,反诈防骗,易,设立移动互联网应用程序应当按照国家有关规定向电信主管部门办理许可或者备案手续。,正确,
设置复杂的银行和网上银行密码，不使用与其他账户相同的密码，不透露短信验证码给他人。,反诈防骗,易,设置复杂的银行和网上银行密码，不使用与其他账户相同的密码，不透露短信验证码给他人。,正确,
设置密码时使用个人生日、手机号码等，以免遗忘。,金融基础知识,易,设置密码时禁止使用个人生日、手机号码等，以免被盗取密码。,错误,
社会公众可以在互联网上免费查询本人的信用报告。,金融消费者八项权益,易,社会公众可以在互联网上免费查询本人的信用报告。,正确,
社交网络上分享的图片、视频等内容不会暴露个人信息。,个人信息保护,易,社交网络上分享的图片、视频等内容极易暴露个人信息。,错误,
使用ATM机时用手遮住键盘。,金融基础知识,易,使用ATM机时要用手遮住键盘，防止密码泄漏。,正确,
市民张先生接到电话，对方自称是公安局的，称其涉嫌洗钱活动，要求接受调查。张先生当即否认自己犯罪，对方表示公安机关已经对他进行通缉，并告诉他可在网上查到通缉令。按照对方给的网址查询，张先生果然看到了自己被通缉的信息，于是坚信不疑，按照对方要求把钱汇到指定的“安全戶”。,反诈防骗,易,要谨防电信诈骗,错误,
收到陌生网友发来的不明链接，可以直接点击吗？,个人信息保护,易,不明链接不可以点,错误,
收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。,个人信息保护,易,收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。,正确,
受教育权要求进一步强化金融消费者教育，积极组织或参与金融知识普及活动，开展广泛、持续的日常性金融消费者教育，帮助金融消费者提高对金融产品和服务的认知能力和自我保护能力，提升金融消费者金融素养和诚实守信意识。,金融消费者八项权益,易,受教育权要求进一步强化金融消费者教育，积极组织或参与金融知识普及活动，开展广泛、持续的日常性金融消费者教育，帮助金融消费者提高对金融产品和服务的认知能力和自我保护能力，提升金融消费者金融素养和诚实守信意识。,正确,
刷单是指以虚构交易、编造用户评价等方式进行虚假或者引人误解的商业宣传，欺骗、误导消费者的行为。大学生可以通过兼职刷单增加自己的收入。,反诈防骗,易,无,错误,
虽然客户没有同意或请求，但保险公司经常向客户发送产品信息是提高服务水平的表现。,金融消费者八项权益,易,无,错误,
随着移动支付愈加便利化，很多人出门购物，吃饭不带钱包，用手机“扫一扫”就行。在地铁站，公交站等地方，骗子往往手里举着二维码的牌子，请市民帮忙扫码，理由多为以“初创企业”，“做活动”。有些二维码可能带有病毒，一旦扫描并安装，钱财存在被盗刷的风险，谨防上当受骗。,反诈防骗,易,有些二维码可能带有病毒，一旦扫描并安装，钱财存在被盗刷的风险，谨防上当受骗。,正确,
提高反诈防骗的措施中提到的“不再出租或出售两卡”中“两卡”指的是银行卡和手机卡。,反诈防骗,易,提高反诈防骗的措施中提到的“不再出租或出售两卡”中“两卡”指的就是银行卡和手机卡。,正确,
提高风险意识和自我保护意识。不轻信陌生电话、短信、邮件和网络留言，特别是那些要求提供个人信息或转账的请求。,反诈防骗,易,提高风险意识和自我保护意识。不轻信陌生电话、短信、邮件和网络留言，特别是那些要求提供个人信息或转账的请求。,正确,
通过视频、音频方式开展金融营销宣传活动的，不必采取能够使金融消费者足够注意和易于接收理解的适当形式披露告知警示、免责类信息。,适当性原则,易,通过视频、音频方式开展金融营销宣传活动的，也要采取能够使金融消费者足够注意和易于接收理解的适当形式披露告知警示、免责类信息。,错误,
通过视频、音频方式开展金融营销宣传活动的，应当采取能够使金融消费者足够注意和易于接收理解的适当形式披露告知个人信息。,金融消费者八项权益,易,不可以随意披露个人信息,错误,
通过微信、QQ、邮件等网络平台，以各种名义传输给我们的压缩文件，可以抱有侥幸心理，随意打开，文件内不可能含有木马病毒。,反诈防骗,易,通过微信、QQ、邮件等网络平台，以各种名义传输给你的压缩文件，切勿随意打开，文件内可能含有木马病毒。,错误,
同学崔某在交友网站上认识一女子，通过QQ、电话微信等方式与其相聊甚欢后被该女子以各种理由骗取人民币4000元。崔某发觉后，在盛怒之下将其QQ号微信号、手机号码全部删除，这样的做法对不对？,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
同学丁某在网上卖游戏帐号，对方要求其缴纳保证金2000元，丁某缴纳了保证金,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
同学黄某接到一个自称某网贷平台工作人员的电话，称目前国家正在清理大学生网贷，要求黄某配合平台调查。于是黄某就按对方要求在各平台进行验证操作,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
同学李某在网上看到一个贷款公司，在没任何正规手续的情况下被对方收取保证金为由骗取人民币3000元，并继续催促李某打钱给对方，李某一边周旋，一边迅速到公安机关报案。,反诈防骗,易,同学李某在网上看到一个贷款公司，在没任何正规手续的情况下被对方收取保证金为由骗取人民币3000元，并继续催促李某打钱给对方，李某一边周旋，一边迅速到公安机关报案。,正确,
同学小苏收到短信，称其有包裹被扣在邮局，让其回电。小苏回电后，对方称其包裹涉嫌危险物品，直接将电话转接到公安局，公安局为核实情况让小苏将银行卡内的钱款转到“安全账户”。小苏感到很恐慌，立马将卡内所有钱转到该账户。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
同学小婷被邀请进了微信群，一天她收到群里的100元祝福红包，平时都是直接拆开红包，这次却要填写个人信息，还需要填写红包的密码，这时小婷应该耐心填写信息，毕竟有大红包。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
"同学小张收到“双11嘉年华”发来的邮件，称其获得购物参与大奖,让其点击链接进入节目网站领取奖品。小张非常兴奋，赶紧点开链接领奖。",反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
"同学在某在交友网站上认识一女子，通过QQ、电话微信等方式与其相聊甚欢后被该女子以各种理由骗取人民币
4000元。崔某发觉后，在盛怒之下将其QQ号微信号、手机号码全部删除，这样的做法对不对？",反诈防骗,易,无,错误,
投诉人为客户继承人的，可不用要求提供继承关系证明。,金融消费者八项权益,易,无,错误,
投资者风险测评不可由他人代替作答，应认真对待，理性评估风险承受能力。,适当性原则,易,投资者风险测评作为对投资者消费者风险认知、风险偏好和风险承受能力等进行综合测评，其目的是确保把合适的产品提供给合适的消费者。,正确,
王某在家接到公安机关电话称自己涉嫌某洗钱案件，让王某与检察官沟通认错，王某连忙拨打该电话。,反诈防骗,易,诈骗分子套路多，金融消费者需提高警惕，谨防诈骗,错误,
为保障银行消费者隐私权，商业银行有权拒绝任何单位或者个人查询、冻结、扣划个人储蓄存款,金融基础知识,易,为保障银行消费者隐私权，商业银行有权拒绝任何单位或者个人查询、冻结、扣划个人储蓄存款，法律另有规定的除外,错误,
为了达到宣传效果，银行在基金营销宣传时，可以使用安全、保证、承诺、保险、避险、有保障、高收益、无风险等表述,金融消费者八项权益,易,金融消费者八项权益,错误,
为了预防、遏制和惩治电信网络诈骗活动，加强反电信网络诈骗工作，保护公民和组织的合法权益，维护社会稳定和国家安全，根据宪法，制定本法。,反诈防骗,易,为了预防、遏制和惩治电信网络诈骗活动，加强反电信网络诈骗工作，保护公民和组织的合法权益，维护社会稳定和国家安全，根据宪法，制定本法。,正确,
未按时还款的信息，即逾期记录，只要后来还清了借款，就不会在个人信用信息基础数据库中记录。,金融基础知识,易,未按时还款的信息，即逾期记录，即使后来还清了借款，仍会在个人信用信息基础数据库中记录。,错误,
未取得个人单独同意，个人信息处理者不得公开其处理的个人信息。,个人信息保护,易,未取得个人单独同意，个人信息处理者不得公开其处理的个人信息。,正确,
