题目：,考核点（请填报统一考核点内容）：,难度：,试题解析：（请填报题目涉及的制度原文+制度名称及第x条）,正确答案,答案A,答案B,答案C,答案D,答案E,答案F,,,,
信用卡交易信息需包含的内容不包括以下哪项？,综合类,易,依据《中国银保监会 中国人民银行关于进一步促进信用卡业务规范健康发展的通知》（银保监规〔2022〕13号）第四条第（十七）款，收单机构应当按照相关法律法规和规则要求准确标识交易信息，向清算机构完整上送并传输至发卡银行业金融机构，便利发卡银行业金融机构识别与判断风险，保障信用卡交易安全。银行业金融机构应当根据可得交易信息，向客户完整、准确展示交易信息，收到的交易信息不符合相关规定的，应当审慎评估并采取必要风险防范措施。清算机构应当按规定制定完善跨机构支付业务报文规则，并对存在漏报、错报、伪造交易信息等行为的成员机构采取必要措施。交易信息包括但不限于交易时间、交易国别、境内外交易标识、交易地点（包括网络交易平台名称）、交易金额、交易类型和商户名称及类别等真实反映交易场景的必要信息。涉及个人敏感信息的，应当采取脱敏等方式进行个人信息保护。,C,交易时间,商户名称,客户身份证号,交易金额,,,,,,
《反保险欺诈工作办法》的制定依据不包括以下哪项？,综合类,易,依据《反保险欺诈工作办法》第一章第一条为防范和化解保险欺诈风险，提升保险行业全面风险管理能力，保护保险活动当事人合法权益，维护市场秩序，促进行业高质量发展，根据《中华人民共和国保险法》《中华人民共和国刑法》等法律法规，结合行业发展现状，制定本办法。,D,《中华人民共和国保险法》,《中华人民共和国刑法》,《中华人民共和国消费者权益保护法》,《中华人民共和国商业银行法》,,,,,,
保险销售从业人员必须出示的有效身份证明不包括以下哪项？,综合类,易,根据《关于落实<保险销售行为可回溯管理暂行办法>有关事项的通知》第三条“明示身份”，保险销售从业人员出示的有效身份证明，一般包括身份证件、工作证件或执业证件。,C,身份证件,工作证件,驾驶证,执业证件,,,,,,
大学生申请贷款时，放贷机构需获取哪类人的书面担保材料作为第二还款来源？,综合类,易,依据《关于进一步规范大学生互联网消费贷款监督管理工作的通知》第一（二）条，要严格贷前资质审核，实质性审核识别大学生身份和真实贷款用途，综合评估大学生征信、收入、税务等信息，全面了解信用状况，严格落实大学生第二还款来源，通过电话等合理方式确认第二还款来源身份的真实性，获取具备还款能力的第二还款来源（父母、监护人或其他管理人等）表示同意其贷款行为并愿意代为还款的书面担保材料，严格把控大学生信贷资质。,B,同学,父母或监护人,辅导员,社会机构,,,,,,
以下哪项不属于高校应开展的金融教育工作？,综合类,易,依据《关于进一步规范大学生互联网消费贷款监督管理工作的通知》第二（一）条，各高校要切实担负起学生管理的主体责任，加强学生金融知识教育和救助帮扶，引导学生树立正确的消费观念，切实维护学生权益和校园稳定。,D,分析借贷“追星”案例,设立专项资助资金,开展金融知识讲座,鼓励学生消费,,,,,,
保险销售行为应遵循的原则不包括以下哪项？,综合类,易,《保险销售行为管理办法（2023）》?第四条保险销售行为应当遵循依法合规、平等自愿、公平适当、诚实守信等原则，尊重和保障投保人、被保险人、受益人的合法权益。,B,平等自愿,利润优先,公平适当,诚实守信,,,,,,
服务收费需“明码标价”体现了以下哪项原则？,综合类,易,根据《关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）第二部分第一条“合规收费”明确规定：服务收费应遵循公开透明原则，各项服务必须“明码标价”，充分履行告知义务，使客户明确了解服务内容、方式、功能、效果，以及对应的收费标准，确保客户了解充分信息，自主选择。题目中“服务收费需‘明码标价’”直接体现了文件中?“公开透明”原则的核心要求，答案为?“公开透明”。,C,合规收费,以质定价,公开透明,减费让利,,,,,,
银行业金融机构的收费项目应确保客户了解充分信息，这体现了哪项原则？,综合类,易,根据《关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）第二部分第三条“公开透明”明确规定：服务价格应遵循公开透明原则，各项服务必须“明码标价”，充分履行告知义务，使客户明确了解服务内容、方式、功能、效果，以及对应的收费标准，确保客户了解充分信息，自主选择。题目中“银行业金融机构的收费项目应确保客户了解充分信息”的表述，直接对应文件中的?“公开透明”原则。答案为?“公开透明”?。,B,合规收费,公开透明,以质定价,减费让利,,,,,,
商业银行服务价格信息披露的渠道不包括以下哪种？,综合类,易,根据《商业银行服务价格管理办法》第十九条、第二十条，商业银行服务价格信息披露的法定渠道为营业场所、网站主页、电子银行渠道，不包括内部员工通知。答案为内部员工通知。,C?,营业场所公示,网站主页,内部员工通知,电子银行提示,,,,,,
个人柜台查询自身信用报告，每年可免费查询的次数是多少次？,综合类,易,根据《政府定价的经营服务性收费目录清单》（2024版）附件中，中央定价的经营服务性收费目录清单中“征信服务收费”部分的明确规定：个人柜台查询自身信用报告收费 标准为：每年前2次免费，自第3次起每次收费10元，不得另行收取纸张费、打印费等其他费用。选项B“每年可免费查询的次数是2次”的表述与政策文件完全一致。,B?,1次,2次,3次,4次,,,,,,
根据《银行保险机构消费者权益保护管理办法》，银行保险机构开展金融知识教育宣传，不得通过以下哪一种方式？,综合类,易,"根据《银行保险机构消费者权益保护管理办法》第三十四条：银行保险机构应当开展金融知识教育宣传，加强教育宣传的针对性，通过消费者日常教育与集中教育活动，帮助消费者了解金融常识和金融风险，提升消费者金融素养。
第三十五条：金融知识教育宣传应当坚持公益性，不得以营销、推介行为替代金融知识普及与消费者教育。银行保险机构应当建立多元化金融知识教育宣传渠道，在官方网站、移动互联网应用程序、营业场所设立公益性金融知识普及和教育专区。",C,建立多元化金融知识教育宣传渠道,在官方网站、移动互联网应用程序、营业场所设立公益性金融知识普及和教育专区,以营销、推介行为替代金融知识普及与消费者教育,通过消费者日常教育与集中教育活动，帮助消费者了解金融常识和金融风险,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
